host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month,n_bathrooms,bath_shared,emailhost_verification,phonehost_verification,photographerhost_verification,work_emailhost_verification,neighbourhood_cleansed_Arbutus Ridge,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_time_Unspecified,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,alarm_amenitie,dryer_amenitie,parking_amenitie,water_amenitie,coffee_amenitie,material_amenitie,grill_amenitie,wine_amenitie,backyard_amenitie,pool_amenitie
2009-11-07,True,True,True,49.28201,-123.12669,2,1.0,1.0,157.0,2,90,1,2,90,90,2.0,90.0,18,22,34,212,443,10,1,2010-06-22,2023-02-24,4.68,4.75,4.8,4.84,4.8,4.92,4.68,True,False,2.86,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2009-11-08,True,True,True,49.25622,-123.06607,2,1.0,1.0,150.0,30,180,30,30,180,180,30.0,180.0,0,5,6,152,96,4,0,2011-06-02,2022-11-06,4.92,4.93,4.96,4.96,4.97,4.78,4.88,False,False,0.67,1.0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2009-11-20,False,True,True,49.24922,-123.08139,4,1.0,2.0,150.0,3,7,3,3,1125,1125,3.0,1125.0,0,0,0,0,34,0,0,2010-10-03,2021-07-14,4.76,4.84,4.68,4.9,4.68,4.77,4.71,True,True,0.22,1.0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-11-23,False,True,True,49.27921,-123.08835,2,1.0,1.0,110.0,30,1125,30,30,1125,1125,30.0,1125.0,1,1,1,70,265,7,0,2010-02-15,2023-01-26,4.69,4.84,4.93,4.85,4.72,4.6,4.74,True,False,1.66,1.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2009-12-15,False,True,True,49.27721,-123.04086,4,2.0,3.0,350.0,3,31,3,3,1125,1125,3.0,1125.0,0,0,0,194,7,2,0,2018-08-04,2022-07-30,4.57,4.86,4.57,4.86,5.0,4.86,4.29,True,False,0.12,1.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2009-11-29,False,True,True,49.26339,-123.07145,6,3.0,4.0,100.0,365,365,365,365,365,365,365.0,365.0,30,60,90,90,3,0,0,2017-12-24,2018-02-16,4.0,4.0,3.0,4.0,4.33,5.0,3.67,False,False,0.05,1.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-27,False,True,True,49.25277,-123.03774,7,4.0,5.0,195.0,5,29,5,5,29,29,5.0,29.0,10,10,10,19,7,0,0,2011-05-06,2021-09-29,5.0,4.83,5.0,5.0,5.0,4.83,5.0,True,False,0.05,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2010-01-07,False,True,True,49.26132,-123.10845,2,1.0,1.0,94.0,5,60,5,5,60,60,5.0,60.0,0,0,0,0,203,0,0,2012-10-01,2021-10-01,4.6,4.75,4.5,4.85,4.85,4.88,4.66,True,False,1.6,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,False,True,True,49.24781,-123.07241,6,3.0,3.0,150.0,30,365,30,30,365,365,30.0,365.0,17,17,17,17,0,0,0,1900-01-01,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2010-01-14,False,True,True,49.26557,-123.096,2,1.0,1.0,51.0,30,1125,30,30,1125,1125,30.0,1125.0,17,35,54,226,118,0,0,2011-03-17,2019-12-31,4.54,4.5,3.98,4.75,4.73,4.69,4.49,False,False,0.81,1.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
